CL_Team,country_abbrev
Ajax,nl
Anderlecht,be
Arsenal,eng
Atlético Madrid,es
Austria Wien,at
Barcelona,es
Basel,ch
Bayern Munich,de
Benfica,pt
CSKA Moscow,ru
Celtic,sct
Chelsea,eng
Dortmund,de
FC Copenhagen,dk
Galatasaray,tr
Juventus,it
Leverkusen,de
Manchester City,eng
Manchester Utd,eng
Marseille,fr
Milan,it
Napoli,it
Olympiacos,gr
Paris S-G,fr
Porto,pt
Real Madrid,es
Real Sociedad,es
Schalke 04,de
Shakhtar,ua
Steaua,ro
Viktoria Plzeň,cz
Zenit,ru
