CL_Team,country_abbrev
Arsenal,eng
Atlético Madrid,es
BATE Borisov,by
Barcelona,es
Bayern Munich,de
Benfica,pt
CSKA Moscow,ru
Chelsea,eng
Dinamo Zagreb,hr
Dynamo Kyiv,ua
FC Astana,kz
Galatasaray,tr
Gent,be
Juventus,it
Leverkusen,de
Lyon,fr
M'Gladbach,de
Maccabi Tel Aviv,il
Malmö,se
Manchester City,eng
Manchester Utd,eng
Olympiacos,gr
PSV Eindhoven,nl
Paris S-G,fr
Porto,pt
Real Madrid,es
Roma,it
Sevilla,es
Shakhtar,ua
Valencia,es
Wolfsburg,de
Zenit,ru
