CL_Team,country_abbrev
APOEL FC,cy
Ajax,nl
Anderlecht,be
Arsenal,eng
Athletic Club,es
Atlético Madrid,es
BATE Borisov,by
Barcelona,es
Basel,ch
Bayern Munich,de
Benfica,pt
CSKA Moscow,ru
Chelsea,eng
Dortmund,de
Galatasaray,tr
Juventus,it
Leverkusen,de
Liverpool,eng
Ludogorets,bg
Malmö,se
Manchester City,eng
Monaco,fr
NK Maribor,si
Olympiacos,gr
Paris S-G,fr
Porto,pt
Real Madrid,es
Roma,it
Schalke 04,de
Shakhtar,ua
Sporting CP,pt
Zenit,ru
